FY,RSS_Workshop_Park_Name,NPS_Region,NRSS_PTAG_WSD_Contact,Key_SinglePoint_of_Contact_for_PM_use,Closest_Airport,Direct,Airport_Used,Air_Miles_Used,Air_Miles_CA,Car_Miles_Used,Car_Miles_CA,Notes
19,"Cowpens National Battlefield/Ninety Six National Historic Site, SC",SER,Dave Lawrence,Janet Cakir,Greenville,,,2958,2550,207.2,207.2,Dave from DEN; Janet from Raleigh
18,"Devils Tower NM, WY",IMR,Dave Lawrence,Gregor Schuurman,Gillette,,,0,624,672,273.4,Gregor and Amber drove from Fort Collins to park
18,"Saguaro NP, AR",IMR,Dave Lawrence,John Gross,Tuscan,,,1276,1276,171,171,John flew from DEN
18,"Indian Dunes NP, IN",MWR,Dave Lawrence,Dave Lawrence,Midway,,,1784,1784,245.6,245.6,Dave flew from DEN
18,"Jewel Cave NM, SD",MWR,Dave Lawrence,John Gross,Rapid City,,,0,600,570,264.6,John drove from FC
18,"Fort Union Trading Post NHS, MT/ND (RSS Update)",MWR,Dave Lawrence,Gregor Schuurman,Williston,,,1162,1162,204.2,204.2,Gregor from DEN
18,"Prince William Forest Park, VA",NCR,Dave Lawrence,John Gross,Reagan,,,2942,2942,203,203,John from DEN
18,"Eisenhower NHS, PA",NER,Dave Lawrence,Amanda Babson,Harrisburg,,,0,2938,784,245.4,"Amanda drove from Narragansett, RI to the park"
18,"Minute Man NHP, MA",NER,Dave Lawrence,"Amanda Babson, Patrick Gonzalez",Boston,,,0,3508,170.8,189.6,"Amanda drove from Narragansett, RI to the park"
18,"Lava Beds NM RSS Update, CA",PWR,Dave Lawrence,Patrick Gonzalez,Medford,,,658,1920,216,356,Patrick flew from SFO
18,"Pinnacles NP RSS Update, CA",PWR,Dave Lawrence,Patrick Gonzalez,Monterey,,,154,1912,97,237,Patrick flew from SFO
18,"Cabrillo NM, CA",PWR,Dave Lawrence,Patrick Gonzalez,San Diego,,,894,1702,11.8,151.8,Patrick flew from SFO
18,"Guilford Courthouse NMP, NC",SER,Dave Lawrence,Janet Cakir,Greensboro,No (Atlanta),,3002,3002,277.2,154.8,Dave from DEN; Janet from Raleigh
18,"Jean Lafitte NHP & PRES, LA",SER,Dave Lawrence,Dave Lawrence,New Orleans,,,2120,2120,169.8,169.8,Dave from DEN
17,"Big Bend NP,  TX",IMR,Dave Lawrence,Gregor Schuurman & Dave Lawrence,Midland,,,1128,1128,610,610,Dave and Gregor from DEN
17,"Carl Sandburg Home NHS, NC",SER,Dave Lawrence,John Gross,Ashville,,,2488,2488,171.6,171.6,John from DEN
17,"Charles Young Buffalo Soldiers NM, OH",MWR,Dave Lawrence,Patrick Gonzalez,Dayton,No (Chicago),,4160,2248,60.4,200.4,Patrick flew from SFO
17,"Craters of the Moon NM& PRES, ID",PWR,Dave Lawrence,Patrick Gonzalez,Sun Valley Friedman Memorial,,,1174,1112,104.8,244.8,Patrick flew from SFO
17,"George Washington Birthplace NM, VA",NER,Dave Lawrence,John Gross,Reagan/Richmond,,,2952,2952,282,282,John from DEN
17,"Harpers Ferry NHP, WV/VA/MD",NCR,Dave Lawrence,John Gross,Dulles,,,2896,2896,217,217,John from DEN
17,"Lassen Volcanic NP, CA",PWR,Dave Lawrence,Patrick Gonzalez,Redding,No (Las Vegas),,398,2238,102.6,242.6,Patrick flew from SFO
17,"Little River Canyon N PRES, AL",SER,Dave Lawrence,Dave Lawrence,Chattanooga,No (Atlanta),,2604,2604,279.4,279.4,Dave from DEN
17,"Pea Ridge NMP, AR",MWR,Dave Lawrence,Gregor Schuurman,Northwest Arkansas,,,1230,1230,189.4,189.4,Gregor from DEN
17,"Richmond NBP, VA",NER,Dave Lawrence,Gregor Schuurman,Richmond,,,854,2964,23.2,163.2,Amanda flew from Providence
17,"Rock Creek Park, DC",NCR,Dave Lawrence,Patrick Gonzalez,Reagan,,,4872,2942,18.6,158.6,Patrick flew from SFO
17,"San Antonio Missions NHP, TX",IMR,Dave Lawrence,Gregor Schuurman,San Antonio,,,1588,1588,172.2,172.2,Gregor from DEN
